Date,GDP_Growth_Rate,Inflation_Rate,USD_CNY_Exchange_Rate,Consumer_Confidence_Index,TV_Global_Shipments,Monitor_Demand_Index,OLED_Market_Share,MicroLED_Adoption_Rate,Display_Technology_Index,Energy_Cost_Index
2023-01-08,2.6,2.96,6.865,94.6,41200614,98.9,0.142,0.02,98.3,89.3
2023-01-15,2.86,2.86,6.816,91.8,39370455,106.6,0.145,0.02,96.8,94.1
2023-01-22,2.1,3.29,6.882,92.3,41530409,90.9,0.161,0.021,95.9,103.6
2023-01-29,2.37,3.04,6.797,94.5,40370690,107.2,0.156,0.021,95.1,113.3
2023-02-05,2.33,3.34,6.878,99.1,40669995,99.9,0.144,0.022,97.6,104.9
2023-02-12,2.56,3.06,6.604,98.4,41486825,101.4,0.145,0.022,99.5,96.9
2023-02-19,2.87,3.1,6.875,93.9,39402107,90.9,0.152,0.022,97.7,109.9
2023-02-26,2.51,2.6,6.712,91.7,41023227,95.5,0.152,0.023,95.2,97.7
2023-03-05,2.6,2.76,6.893,91.2,40109818,91.5,0.154,0.023,103.6,103.7
2023-03-12,3.08,2.86,6.781,95.9,39870230,103.4,0.161,0.024,97.7,101.8
2023-03-19,3.03,2.98,6.847,95.2,40720246,105.4,0.158,0.024,99.3,85.8
2023-03-26,3.13,2.57,6.904,96.0,41256415,103.9,0.152,0.025,100.4,91.1
